index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
377,"Bathroom Cleaner - Liquid, Hand Made",Cleaning & Household,All Purpose Cleaners,Wild Ideas,120,120,Toilet Cleaners,3.5,"Wild Ideas present their all-new range of Hand Made Liquid Castile Bathroom Cleaner topped with the added disinfecting and cleaning properties of Lemon Essential Oil. This cleaner works extremely well on tough stains in the toilet bowl, sinks and tiles. You can use it for cleaning regular surfaces as well."
378,Kodo Millet Rice - Pesticide Free,"Foodgrains, Oil & Masala",Dals & Pulses,Safe Harvest,84.15,85,Cereals & Millets,4.1,"Safe harvest Kodo Millet Rice is procured from small and marginal farmer producer collectives from South Tamil Nadu. It has been carefully grown to ensure that you get safe food without synthetic pesticides and without using genetically modified seeds. All products of Safe harvest are tested in FSSAI accredited laboratories for the presence of 149 pesticides and a Minimum Residual Level report is obtained. Also, our millet rice is parboiled and unpolished that helps in retaining the essential nutrients. They are easily digestible, highly nutritious, and gluten-free and has a lesser percentage of glucose when compared to rice and thus lowers the risk of diabetes. Kodo millet has 8. 3% protein and 65. 2% carbohydrate when compared to paddy rice that has only 6. 8% protein but 78. 2% carbohydrates."
379,Amla Juice,Beverages,Fruit Juices & Drinks,Patanjali,220,220,Juices,3.5,Patanjali Amla Juice is rich in antioxidants and vitamin C. Amla or Indian gooseberry has several health benefits	 it is used as skin & hair treatment and improves your immunity and eyesight. This amla juice is absolutely natural and should be taken on an empty stomach.			
380,Cheddar - English,Gourmet & World Food,Dairy & Cheese,Dairy Craft,530,530,International Cheese,3.5,100% pure vegetarian and natural cheddar with mild creamy flavour. It has a rich tendency to melt in the mouth with a hazelnut flavour.
381,Power - Fresh Breath Fluoride Toothpaste 100 g + Sensitive Toothpaste 80 g,Beauty & Hygiene,Oral Care,Clove,203.99,240,Toothpaste,3.5,"Clove is your very own dental care expert made by Indians for Indians. Clove Power is an anti-cavity toothpaste that contains a unique formula that freshens breath with the goodness of clove oil. Formulated with Dentist approved ingredients, it helps clean teeth to make them whiter and stronger. It helps reduce the formation of plaque and tartar above the gum line which helps fight against gingivitis, stains, tartar, and cavities. Fluoride gives protection against tooth decay and strengthens teeth. Clove Power has excellent foaming action with smooth & easy flow ensuring it gets to every corner of your whole mouth and fights bacteria on teeth, tongue, cheeks, and gums. Also, it whitens the teeth, protects the enamel and prevents bleeding gums. Say goodbye to bad breath, decay and gum disease as you welcome Clove Power toothpaste."
382,"Matcha Moringa Bar Bites - Mini, Gluten-free, Vegan",Gourmet & World Food,Chocolates & Biscuits,She made,112.56,168,"Cookies, Biscotti, Wafer",3.5,"Healthy and gluten-free Matcha Moringa bar bites are easy options for on-the-go snacking. With the goodness of matcha and moringa, these bites contain antioxidants that support immunity building. Not just that it is also enriched with the wholesome nutrition of almonds, dates, chia seeds, oats and a touch of cinnamon. There are no added preservatives and artificial flavours."
383,Sugar Free Juice - Lemon Ginger Squash,Beverages,Fruit Juices & Drinks,Diabetics Dezire,330,330,Juices,3.5,"Made from pure lemon juice, fresh ginger & Levulose. Direction for use : Add 1 measure of Diabetics Dezire natural lemon squash concentrate to 4 measures of chilled water, enjoy without guilt. For every 20 ml it contains 50 Kcal of energy per serving, 0.10 g of Protein & Fibre, 12 g of Carbohydrates."
384,Wipeout Germ Killing Soap,Beauty & Hygiene,Bath & Hand Wash,MyGlamm,55.2,69,Hand Wash & Sanitizers,4,"Rejuvenating and purifying, the WIPEOUT Germ Killing Soap by MyGlamm is the perfect start and finish to a long day. This anti-microbial bathing bar contains nourishing cocoa butter, enriched with germ-killing chlorhexidine with tea tree oil and healing coconut extracts to give you germ-free soft, supple and squeaky clean skin."
385,Jelly Crystal - Raspberry,Gourmet & World Food,Cooking & Baking Needs,Puramate,40.5,45,"Baking, Cake Decorations",4.4,"Jelly is amazing treat on its own as it is so tasty, but jelly is fabulous with some whipped cream or ice cream and even custard, which together is a classic of the tea-time table. Jelly Crystals is the best vegetarian dessert. Puramate jelly crystals give you perfect taste, texture & flavour ."
386,Black Tea,Beverages,Tea,Tetley,155,155,Tea Bags,4.3,"Featuring the finest grade Assam teas, selected by our expert tea masters working their magic for that unique taste you love."
387,Grainy Delight,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Nutriplate,150,150,Roasted Seeds & Nuts,3.5,"Grainy Delight is a roasted multi-millet namkeen which is rich in fibre, protein, iron, calcium and minerals. It is a healthy & tasty snack which you can enjoy any time."
388,"Kitchen Cleaning/Dusting Microfibre Cloth - Grey, G130060GR",Cleaning & Household,"Mops, Brushes & Scrubs",Liao,239.2,299,Dust Cloth & Wipes,4.3,"Keep your kitchen tidy and clean with this grey coloured microfibre cloth. Since the fabric is made using microfibre, it can absorb more water than its weight. It is easy to clean and dry. It traps dirt and filth like a magnet. The fibres are super soft hence makes the cleaning ultra smooth and relaxing."
389,Amla Churna,Beauty & Hygiene,Health & Medicine,Dabur,80,80,Ayurveda,3.5,Dabur Amla Churna helps to increase Immunity. It has antioxidant properties and is beneficial for eyes. It provides relief from digestive problems like acidity and also from the burning sensation in chest.
390,Professional Herbal Orange Facial Massage Cream,Beauty & Hygiene,Skin Care,Olivia,191.25,225,Body Care,3.5,Want instant glowing skin? Try Olivia Orange Facial Message Cream. It makes your skin flawless and fabulous. Try today and retain your natural glow.
391,Eggless Mayonnaise Dip,Gourmet & World Food,"Sauces, Spreads & Dips",HappyChef,119,149,Salad Dressings,3.5,"Happy Chef eggless mayonnaise is a creamy salad dressing completely made using skimmed milk powder without added egg in it. Mayonnaise is a classic French sauce which is used in sandwiches, salads and is a mother sauce for a variety of sauces and dressings."
392,Nilgiri Green Tea - Yakuso Tulsi,Gourmet & World Food,Drinks & Beverages,Teamonk,525,750,Gourmet Tea & Tea Bags,3.5,"This Nilgiri Green Tea - Yakuso Tulsi helps for weight loss, and enhancing your immunity as it gets you rid of toxins and enhances your metabolism. Enjoy your leisure time savouring this relaxing tea along with your favourite biscuits."
393,"Peri Peri Sauce - Bird Eye Chili, Hot & Tangy",Gourmet & World Food,"Sauces, Spreads & Dips",Habanero,161.1,179,Thai & Asian Sauces,4.1,Habaneros versatile Peri Peri Sauce is made using birds-eye chilly that can be used as a tasty marinade or a flavourful sauce and snacks and grilled or barbecued dishes. Peri Peri is one of the most common spice and is ranked as one of the spiciest forms of chilli flavouring.
394,"Menstrual Cup - Wings, Pratham",Beauty & Hygiene,Feminine Hygiene,Stonesoup,489,489,Tampons & Menstrual Cups,3.5,Stonesoups Menstrual Cups are soft and easy to insert and are recommended for women who have given vaginal birth and leading a sedentary lifestyle. These cups have good suction and are easy to remove and clean. They can be safely worn at night while slepping without fear of leakage.
395,Wonderz Milk Fruit N Milk - Mango,"Bakery, Cakes & Dairy",Dairy,Sunfeast,29.75,35,"Flavoured, Soya Milk",4.1,"Treat yourself with an exciting tasteful adventure and discover Wonderz of Milk in every sip. Fruit n Milk Mango Drink is a wonderful blend of the goodness of fruit and milk. Made with real mango pulp and mango bits, it promises a delightful experience. This product contains no preservatives and is a low-fat beverage."
396,Cow Ghee/Tuppa,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Himalayan Natives,432,540,Ghee & Vanaspati,3.4,"The Original Himalayan Cow ghee is made from the milk of purebred and non-hybrid free-range Himalayan cows that graze exclusively on the mineral-rich Himalayan grass, herbs, and medicinal plants. Our ghee is 100% genuine and is ethically and sustainably sourced. It is also free from preservatives, colours, and chemicals. It possesses a granular texture with an authentic aroma and flavour."
397,"Organic - Black Cardamom Ealachi, Whole","Foodgrains, Oil & Masala",Organic Staples,bb Royal,44,47,Organic Masalas & Spices,4,Black Cardamom Whole by BB Royal Organic is organically cultivated for purity and come filled with brightness and health.
398,Ultimate Choco Berry,Snacks & Branded Foods,Chocolates & Candies,RiteBite Max Protein,950,950,Granola & Cereal Bars,4.9," A BAR FOR EVERYONE: With 30gms of protein in each bar and 10gms of fiber, 5.5g of BCAA and goodness of berries. Max Protein Choco Berry protein bar is the perfect bar for your ultimate lifestyle with no preservatives and no artificial sweeteners with a balance of taste and health. SUSTAINED ENERGY: Max Protein Choco Berry is yours go to performance energy bar, purposefully crafted with an ideal mix of 3 protein blends of whey protein, soy and casein and a punch of flavor with berries to sustain 5hrs of energy for your ultimate lifestyle. WHOLESOME INGREDIENTS FOR A WHOLESOME EXPERIENCE: A bar that satiates your hunger and keeps you going with 5hrs of sustained energy."
399,Steel Belly Shape Storage Dabba/ Container Set With PP Lid - Silver & Blue,"Kitchen, Garden & Pets",Steel Utensils,Jensons,219,995,Steel Storage Containers,3.8,"Jensons Stainless Steel Belly Puri Dabba/storage containers are made with high-quality stainless steel. This storage container features with beautiful mirror polish design which is easy to clean and maintain for timeless kitchen style. This container is essential to any kitchen and is versatile, space-saving and stylish. These are sturdy and durable, taking care of your food and ingredients for a long time. Use the containers to store kitchen ingredients like spices, lentils and grains, cookies and other kitchen staples."
400,Kool - Koko,"Bakery, Cakes & Dairy",Dairy,Amul,111,120,"Flavoured, Soya Milk",4.3,"Kool Koko is a fun, wholesome drink. Shake the can, open it and get pleasure from the yummy goodness of cafe. It is effortless to use a yummy drink that energizes you instantly with the goodness of milk.Serve it at home for parties or to your family instead of unhealthy fizzy drinks."
401,"Apple Cider Vinegar - With Mother, Unfiltered & Unpasteurized",Gourmet & World Food,Oils & Vinegar,TrueNature,500,500,Balsamic & Cider Vinegar,5,"True Nature Apple Cider Vinegar is 100% naturally fermented to 5% acidity from the finest and delicious Himalayan grown apples. It is unfiltered and unpasteurized and hence retains the benefits of the natural residue ""Mother"" which has the health benefits mentioned below and also retains essential minerals like sodium and potassium required by the body. Product Description: 1. 100% Natural, fermented to 5% acidity from the finest and delicious Himalayan grown apples 2. FSSAI Certified 3. 500ml plastic packing (Plastic Used is food grade plastic) 4. 18 months shelf life from the date of manufacture 5. No refrigeration required Following are the unique things of my product"
402,Dare Deodorant Spray - Men,Beauty & Hygiene,Fragrances & Deos,Kamasutra,210,210,Men's Deodorants,3.9,Stolen kisses! Hazardous flings! Bold moves! Dangerous liaisons! Fatal attractions! And a man who sends pulses racing everywhere! These are just some of the benefits when you dare to be different with this warm and vibrant fragrance!
403,Svachh DLX Alpha Steel Outer Lid Pressure Cooker (20247),"Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,2060,2290,Pressure Cookers,3.3,"The Prestige Dlexue Alpha Svachh pressure cookers are made using the best quality stainless steel, which makes it perfect for any kitchen. Its unique Alpha base is designed for even distribution of heat and is also induction compatible. What's more, it also features built-in safety mechanisms in the form of pressure indicators, safety plug and controlled gaskets release system. Also, the scachh lid contains any spillage that might occur during the course of cooking, keeping your kitchen cleaner and safer than ever before. So, go ahead and bring home the Deluxe Alpha Svachh stainless steel pressure cooker, it's yet another Prestige product you can trust."
404,Hydrating Body Lotion,Beauty & Hygiene,Skin Care,Nutrinorm,349,349,Body Care,4,"Nutrinorm’s Hydrating Body Lotion is enriched with Anti-oxidants and Vitamin E, providing a Natural, Healing and Soothing effect on the skin. Its unique herbal properties Strengthen, Protects and Rejuvenates the skin for enhanced cell function. While its natural moisturizer leaves the skin soft. The Hydrating Body lotion contains high-quality Virgin Coconut oil, Pure Olive oil, Grapeseed oil and Glycyrrhiza glabra which has a soothing effect on the skin and the formula absorbs the lotion quickly into the skin."
405,Nuts & Seeds Bar,Snacks & Branded Foods,Breakfast Cereals,RiteBite Max Protein,36,40,Granola & Cereal Bars,3.8,"A NUTTY TREAT: A the crunch of almonds and cashews in each bite and a kick of health with pumpkin seeds and flax seeds. To add on to this, this great combination is formulated WITH NO ADDED SUGAR NUTRITION AND MORE: With cashews and almonds that are rich in zinc and magnesium and source of other micronutrients. Dark chocolate that serves as a mood elevator and aids stress management, Oats that delivers Fibre and quinoa provides sustained energy with Low GI. A product with clean and natural ingredients and no preservatives and the benefits of flax seeds that are a good source of Omerag-3 fatty acids and pumpkin seeds that improves heart health. YOUR GO-TO SNACK: A pack full of goodness for all your sweet cravings. No more guilt for your midnight binge or when you have a craving for something sweet."
406,"Nacho Chips - Cheese With Herbs, No Onion, No Garlic",Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Makino,46.9,70,Nachos & Chips,4.2,"Makino’s No Onion and No Garlic flavours are specially launched for people who don’t consume garlic, onion and potato in their diet or meal. We procure Non-GMO high protein Corn from Northern parts of India, in-process we bake raw chips, fry it with corn oil and add imported seasoning to give you the best taste without compromising the quality. These products are made in ISO 22000, FSSAI, HACCP, HALAL and US FDA approved plant. On the other side, our all products contain no MSG, no Preservative, zero trans fat and zero cholesterol so, feel free to consume. About Makino’s No Onion No Garlic Flavors, they are very unique in taste compare to Makino’s regular flavours."
407,Pistachio,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Rostaa,307.2,480,Dry Fruits & Berries,3.5,"Made with the highest quality of carefully handpicked pistachios, the nuts are roasted to perfection and seasoned with just the right amount of salt. They make for wholesome and healthy snacks, the kind you would never want to stop eating."
408,7 O Click - Permasharp Stainless Blade,Beauty & Hygiene,Men's Grooming,Gillette,21.56,22,Shaving Care,4.1,"The Razor's Snap Lock Action makes shaving really convenient and hassle-free, unlike ordinary razors, its superior design ensures a firm hold and precise positioning of the blade, minimising any chances of nicks and cuts. So you can have a shave that's totally safe and comfortable."
409,Classic Sandalwood & Tulsi Hand Wash,Beauty & Hygiene,Bath & Hand Wash,Santoor,209,209,Hand Wash & Sanitizers,3.8,Presenting Santoor hand wash with a blend of natural ingredients and unique formulation that not only fights germs but also keeps the hands soft. Its natural fragrance makes it pleasant to use and the ergonomically designed packs make it easy to keep in washbasins and sinks. Its unique formulation not only fights germs but has a pH balanced formulation that maintains the softness of the hands.
410,Chai/Stainless Steel Cups - For The Love Of Tea,"Kitchen, Garden & Pets",Crockery & Cutlery,Hot Muggs,395,395,"Cups, Mugs & Tumblers",3.5,This Lovely High Gloss Design in stainless steel with typographic design expressions for the Love Of Tea. The mugs have gloss reflections which add that extra style and distinctness to the product. It is ideal for gifting and adding that touch of style for elite homes/offices.
411,Brass Karpoor Arti - No.2,Cleaning & Household,Pooja Needs,Trm,109,225,Other Pooja Needs,3.8,The camphor is placed and lit in the middle of the karpura Arthi holder and it is waved in circular fashion to show the gratitude and offerings to the God. The flames from the karpur arthi is partially touched with the hands and kept on the eyes as a part of the ritual to get positivity. The hovering of the hands is used to open the sense of touch and flames are used to open the sense of sight. It gives calmness to the mind.
412,Nikhaar Hair Removal Cream For All Skin Types,Beauty & Hygiene,Feminine Hygiene,Veet,82,82,Hair Removal,4.1,"Enjoy a pleasant hair removal experience with Veet Nikhaar Hair Removal Cream – with the goodness of Turmeric, Sandal & Saffron- it gives you smooth and visibly brighter skin with every depilation. This hair depilation cream is pain-less and great for instant use. It effectively removes even short, stubborn hair and leaves skin moisturized for up to 24 hours. It can be used on legs, arms, bikini line and underarms for a perfectly finished hair-less skin. Veet Nikhaar Hair Removal Cream for all skin types gives you perfect hair removal results in just 3 to 6 minutes. Follow the steps get fewer, finer and mentioned in the pack using the special spatula provided. Before using the product, please softer hair growing read the pack precautions carefully. With regular use back!"
413,Original Care Lip Balm For 24h Moisture With Shea Butter & Natural Oils,Beauty & Hygiene,Skin Care,Nivea,114.8,140,Lip Care,4.3,"Nivea Original Care Lip Blam nourishes lips in such a way that they always look and feel their best. With its weightless texture, it makes effective all-around lip care for soft and smooth lips, with no colour. The skin on your lips is much thinner than rest of the body skin, it chaps and peels so easily and hence ideally should be kept moisturised with a lip care product. Nivea Original Lip Balm keeps your lips moisturised for up to 12 hours."
414,"Plastic Insulated Jr Casserole For Roti/Chapati Gift Set - White, Regalia","Kitchen, Garden & Pets",Flask & Casserole,Milton,739,910,Casserole,3.5,"Bring home this Milton casserole and dig right into a tasty meal without waiting. Eating hot and fresh food is everyones desire and this casserole with a stainless steel interior and plastic outer body retains heat effectively for long periods of time. The double-walled insulation lets you say goodbye to the lengthy process of heating each item before consumption. Moreover, its charming aesthetics make it an ideal gifting solution for any occasion."
415,Sunspray Sunscreen SPF 30,Beauty & Hygiene,Skin Care,INATUR ,292.5,450,Face Care,3.5,"Inatur Sun Spray SPF 30 is an organic-mineral-aqueous system that ensures very high UVA & UVB protection. It is light, oil-free and excellent for sensitive skin, oily skin and delicate skin of babies and children. It is enriched with Carrot extracts - which helps in repairing tissues and protects from UV rays, heals sunburns, Honey extracts - which is full of antioxidants that help to slow down ageing, is extremely moisturizing and boosts the complexion and gives a healthy glow, Aloe Vera - that prevents skin ageing, treats sunburn and gives a radiant glow and Bergamot oil - a restorative skin toner."
416,Vastu Combo Pack - Floor Cleaner + toilet cleaner,Cleaning & Household,All Purpose Cleaners,Runaway,319,319,Floor & Other Cleaners,3.6,"Runaway Vastu Floor Cleaner Contains Herbal & Organic Contents and Also it contains Various kinds of Natural Oils ,Which again helps in Reducing Negative Energy from your place. Runaway-Vastu Floor Cleaner have 5 in 1 Properties. 1.Powerfull Cleaner2. Retain Shine of Floor3. Kill Germs4. Reduces Negative Energy .5. Insecticidal Property It also Contains Gau Mutra . Gau Mutra is Natural Disinfectant, Anti Microbial & Anti Bacterial."
417,"Water Flask - Insulated Thermosteel, Flip Lid , Silver","Kitchen, Garden & Pets",Flask & Casserole,Milton,879,1095,Vacuum Flask,4.2,This Insulated double walled vacuum water flask is designed for maximum temperature retention that keeps your favourite drinks hot/cold without altering their temperatures for a prolonged period of time. It will keep your drinks just the way you need them throughout the day. The taste and nutritive value of the drinks remain intact for a long time making the flasks very appropriate choice for storing beverages.
418,Drumstick - Organically Grown,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,13,16.25,Organic Vegetables,3.5,"Fresho Organic products are organically grown and handpicked by expert. Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability."
419,Up Or Down Eau De Toilette Deodorant - For Man,Beauty & Hygiene,Men's Grooming,Nike,223.2,279,Men's Deodorants,3.5,"A brand inspired by the Greek goddess of victory, it personifies strength, speed and energy and it launched its first perfume in 1929. Since then, a wide assortment of fragrance collections has hit the marketplace with refreshing, and eye-catching proposals that capture the essence and lifestyle of today´s man and woman."
420,"Ultra Healing - Extra Dry Skin Moisturiser With Vitamin C, E & B5",Beauty & Hygiene,Skin Care,Jergens,296.1,329,Body Care,2,Let your skin experience the luxury of pure pampering with this Ultra Healing Extra Dry Skin Moisturizer Nourishes and Heals body lotion exquisitely created by Jergens. This deeply hydrating moisturiser penetrates deep into the layers of your skin for deep nourishment and moisturisation. Specially-created Formula with Vitamin B3 Complex. This specially-created formula is enhanced with a touch of Vitamin B3 complex that helps in healing your dry skin with intense moisturization. Heals Dryness at the Source and Locks in Moisture for 24 hours. The Jergens Ultra Healing Extra Dry Skin Moisturizer Nourishes and heals body lotion gently soothes and moisturises your skin to heal dryness at the source.
421,"Organic, Fennel /Saunf/Sompu Powder","Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,23,25,Organic Masalas & Spices,4.1,Organic Saunf is hygienically processed fragrant spice which is also known as one of the key ingredients of Chinese 5 spice powder. This is quite frequently used in many Indian recipes.
422,Coconut Braker - Big,"Kitchen, Garden & Pets",Kitchen Accessories,Kvg,129,169,Kitchen Tools & Other Accessories,3,This tool for easily breaking coconut without spilling water in surroundings. Body is made of plastic with a heavy metal bar in the middle. Easy to clean.
423,Truffel - Caramel,Snacks & Branded Foods,Chocolates & Candies,Dukes,190,200,Chocolates,3.7,"Make every moment sweeter by treating your senses to the deliciousness of a caramel centre, wrapped within creamy milk chocolate. Rejoice with loved ones by indulging in a Truffle, and revel in the generous blend of taste and texture."
424,Conditioner - Hair Repair,Beauty & Hygiene,Hair Care,Richfeel,161,161,Shampoo & Conditioner,3.5,"Richfeel Hair Repair untangles & instantly enhances the texture of your hair. It repairs the hair cuticles to give you an instant shine. Also helps repair split ends. Suitable for all hair types For Beauty tips, tricks & more visit https://bigbasket.blog/"
425,"Stainless Steel Water Bottle - Blue, BB506 3","Kitchen, Garden & Pets",Storage & Accessories,DP,249,470,Water & Fridge Bottles,3.5,"This blue coloured water bottle, made of stainless steel, is specially designed with a vacuum seal that prevents leakage. It is durable and lightweight. The slim design fits into most standard auto cup holders, making it perfect for long car rides and bags. The wide mouth of the bottle helps easy filling and also fits ice cubes."
426,Mischief Avatar Deodorant & Body Spray Perfume For Men,Beauty & Hygiene,Fragrances & Deos,Set Wet,121,199,Men's Deodorants,3.8,"Are you ready for some mischief? Switch on fun-mode with the Set Wet Mischief Avatar deodorant for men. Be the bright spot of the day - the fun guy who is in every friend circle. If your love giving quirky comebacks, if your jokes and memes get the likes, if your harmless pranks are the talk of town, this men’s deo is perfect for you! Set Wet Mischief Avatar deo with a feisty fragrance with the zesty scent of many spices, whispers of rosewood and a highlight of apples & melon. Make Set Wet your bro. Your avatar is Mischief Avatar. Set Wet Avatar range of deodorants for men is a burst of colour, energy, and passion that comes with the prime of youth. It is a collection sunny, sporty and charming fragrance for men that are perfectly suited to deliver to your varying avatars."
427,Skin Fruits Fruit Moisturising Body Lotion,Beauty & Hygiene,Skin Care,Joy,68.85,81,Body Care,4.1,"Joy Skin Fruits Moisturising Body Lotion is an intensive care moisturiser, with Active Fruit Boosters, which moisturises and softens skin leaving no signs of dryness. Enriched with Apple Extracts, jojoba and almond oils, it revitalises skins youthful beauty. It results in softer, silky, younger-looking skin."
428,Multipurpose Germ Protection Anti-Bacterial Wipes With Lemon Fragrance,Cleaning & Household,All Purpose Cleaners,Corsafe Advance,100,100,Disinfectant Spray & Cleaners,3.5,"Corsafe advance: Multipurpose germ protection wipes Proven Formula: Provides 99.9% protection Alcohol-free Wipes: suitable for all surfaces, indoor & outdoor Skin-friendly ph Antibacterial Refreshing lemon fragrance Good cleansing action: use on gadgets, toys, furniture, door handles, elevators etc. 25 usable wet wipes of size 150x200 mm"
429,Basmati Rice/Basmati Akki - Rozana Super 90,"Foodgrains, Oil & Masala",Rice & Rice Products,Daawat ,340,390,Basmati Rice,3.9,"Daawat Rozana Super 90 is the finest Basmati Rice in the mid-price affordable segment. It is specially processed for daily cooking across a multitude of regular dishes, a perfect fit for every day consumption. Rozana Super 90 promises a sweet taste and rich aroma as each grain is naturally aged. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/233/rice-rice-products/"
430,Milk power Frappe Milkshake - Belgian Chocolate,"Bakery, Cakes & Dairy",Dairy,Real,27,30,"Flavoured, Soya Milk",4.2,"Real Milk Power Frappe Milkshake - Belgian Chocolate has the goodness of milk and exotic Belgian chocolate flavour. It has 30% more calcium and vitamin D2 than Cow Milk (based on values as per NIN, ICMR). It has no added preservatives. Taste and health in one packet. Enjoy this to tame your small hunger pangs."
431,"Peanut Butter - Unsweetened, Crunchy",Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Happy Jars,275,275,Choco & Nut Spread,3.8,"If you like it healthy & intensely crunchy, this one's for you. 100% roasted peanut goodness, the Pure Peanut Crunchy is high on protein and mixed in with even more peanuts to give it that delectable crunch. With 30% more protein content, it's great before or after a workout. Peanut butter can be used as a spread on bread and chapati. It is rich in protein and Vitamin B6. It can be used as part of fitness diets and for those who want a diet rich in protein."
432,Salem Turmeric Powder/Arisina Pudi,"Foodgrains, Oil & Masala",Masalas & Spices,Orika,24.75,33,Powdered Spices,4.4,"As vibrant as its colour are the bountiful gifts of Turmeric. Known for its excellent anti-inflammatory & antioxidant properties, Turmeric powder is an essential component of almost all savoury Indian preparations. Orika sources superior quality turmeric from Salem, known for its high curcumin content. We go the extra mile to keep the curcumin intact with our meticulous processing methods. A pinch of this Turmeric powder unleashes bright yellow hues along with subtle & complex flavours."
433,Body Fragrance - Alexander,Beauty & Hygiene,Fragrances & Deos,Park avenue,149.25,199,Men's Deodorants,4.3,"Park Avenue Alexander - Truly for the masculine spirit which is high in optimism. The top note opens up with bergamot and settles down with musk and amber. It has floral notes at the heart which will ensure spirits are always high.For Beauty tips, tricks & more visitÂ https://bigbasket.blog/"
434,"Steel Storage/Lunch Container- No.1, Blue, Klip It","Kitchen, Garden & Pets",Steel Utensils,Joyo Steel,79,119,Steel Storage Containers,3.1,"Joyo Klip It Stainless steel container comes with easy locking. These containers are made from high quality non- magnetic stainless steel body. Joyo Klip It container has odourless lid cover with food- grade silicone seal (gasket) in lid & has all 4 sides locks which ensure airtight containers for keeping food fresh, 100% leak-proof containers for keeping food from spilling, stackable design for easily storing the containers on top of each other and the pioneering clip mechanism. Take this container to the office, school, camping or hiking."
435,Ladies Finger,Fruits & Vegetables,Fresh Vegetables,Fresho,26.73,35,"Beans, Brinjals & Okra",3.5,"Ladies finger is a green vegetable with a tip at the end and a lighter green head, which is inedibe and to be thrown away. It tastes mild and slightly grassy. Do not forget to check out our delicious recipe- https://www.bigbasket.com/cookbook/recipes/2136/cheesy-okra-bhindi-fritters/"
436,Aloe Vera Juice - Purifies Blood & Boosts Immunity,Gourmet & World Food,Drinks & Beverages,Jiva Ayurveda,220,220,Health Drinks,1,"A natural anti-oxidant and blood purifier, Aloe Vera strengthens the immune system and improves digestion. It is a good skin tonic and anti-ageing agent. Jiva Aloe Vera Juice is made from premium-quality aloe vera plant as per ancient Ayurveda texts. Moreover, it is manufactured through sophisticated processes marked by Jiva\\u2019s stringent quality standards in order to maintain the potency of the ingredients."
437,"Balloon - Polka Dot, 12 Inch",Cleaning & Household,Party & Festive Needs,B Vishal,99,129,"Caps, Balloons & Candles",3.9,"Whether it is a party in the office, a Christmas bash, a baby shower, wedding, or a casual party for friends, these decorative items seem to be an essential of party supplies. They make the perfect party accessory for people who love to have a good time."
438,School/Stationery Kit,Cleaning & Household,Stationery,BIC Cello,49,49,"Pen, Pencils",4.1,"Set of high-quality pens, mechanical pencil, marker and highlighter essential stationery kit for all student requirement."
439,Face Wash - White Tea & Chamomile,Beauty & Hygiene,Skin Care,Aroma Magic ,129.5,185,Face Care,4.2,"I am 100% free of paraben, soap, alcohol, artificial colouring and fragrance. Deep clean your pores with white tea and soy milk extracts and exfoliating microbeads. Prevent ageing and protect the skin from free radicals. The chamomile essential oil soothes and calms, leaving you fresh and relaxed.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit bigbasket lifestyle blog, Click Here to visit bigbasket’s lifestyle blog"
440,Bathroom Cleaner,Cleaning & Household,All Purpose Cleaners,PureCult,209.3,299,Toilet Cleaners,4,"PureCult Bathroom Cleaner I a biodegradable blend powered by essential oils works hard to remove water drop marks, soap scum and grime effectively from bathroom tiles, shower cubicles and washbasins. It leaves a layer of protection on the shower cubicles that makes it hard for the stain to get back. Sweet orange and Lemon essential oils are both known for their antimicrobial and antifungal properties and their refreshing fragrance. Product: This bottle contains 500ml of concentrated, high-efficiency environment-friendly bathroom cleaner. This product is “Made in India” and proudly Indian owned. Usage: This product removes water drop marks, soap scum & grime from bathroom tiles, shower cubicles & washbasins. It also leaves a stain protection layer on shower cubicles. Ingredients: Environment-friendly biodegradable surfactants, biodegradable scale removing agent and essential oils."
441,Imperial Desert Set - Aqua Leaves,"Kitchen, Garden & Pets",Crockery & Cutlery,Cello,419,625,Plates & Bowls,2.8,"The fusilli spiral on the wooden spoon is just right. We will not guarantee the effect to replicate with any other bakeware. As it is made of borosilicate glass, our bakeware can handle temperature as high as 300 degree Celsius. So you can use them to make a lot of things."
442,Solitaire Storage Transparent Pet Container Set - Green Lid,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,409,969,Containers Sets,4.2,"These Steelo storage containers are made from high-quality plastic for everyday use. It seals the food effectively and has an easily stackable design for smart storage. The multipurpose airtight storage containers come with an attractive design, a food-grade quality that makes it hygienic for food use. It has a freezer without a lid, strong and durable body for longevity."
